location,date,new_cases
Denmark,2020-02-02,
Denmark,2020-02-03,
Denmark,2020-02-04,
Denmark,2020-02-05,
Denmark,2020-02-06,
Denmark,2020-02-07,
Denmark,2020-02-08,
Denmark,2020-02-09,
Denmark,2020-02-10,
Denmark,2020-02-11,
Denmark,2020-02-12,
Denmark,2020-02-13,
Denmark,2020-02-14,
Denmark,2020-02-15,
Denmark,2020-02-16,
Denmark,2020-02-17,
Denmark,2020-02-18,
Denmark,2020-02-19,
Denmark,2020-02-20,
Denmark,2020-02-21,
Denmark,2020-02-22,
Denmark,2020-02-23,
Denmark,2020-02-24,
Denmark,2020-02-25,
Denmark,2020-02-26,
Denmark,2020-02-27,1.0
Denmark,2020-02-28,0.0
Denmark,2020-02-29,2.0
Denmark,2020-03-01,1.0
Denmark,2020-03-02,0.0
Denmark,2020-03-03,2.0
Denmark,2020-03-04,5.0
Denmark,2020-03-05,0.0
Denmark,2020-03-06,13.0
Denmark,2020-03-07,0.0
Denmark,2020-03-08,13.0
Denmark,2020-03-09,55.0
Denmark,2020-03-10,172.0
Denmark,2020-03-11,180.0
Denmark,2020-03-12,173.0
Denmark,2020-03-13,187.0
Denmark,2020-03-14,32.0
Denmark,2020-03-15,39.0
Denmark,2020-03-16,58.0
Denmark,2020-03-17,92.0
Denmark,2020-03-18,91.0
Denmark,2020-03-19,109.0
Denmark,2020-03-20,112.0
Denmark,2020-03-21,83.0
Denmark,2020-03-22,94.0
Denmark,2020-03-23,58.0
Denmark,2020-03-24,146.0
Denmark,2020-03-25,144.0
Denmark,2020-03-26,161.0
Denmark,2020-03-27,177.0
Denmark,2020-03-28,166.0
Denmark,2020-03-29,198.0
Denmark,2020-03-30,191.0
Denmark,2020-03-31,284.0
Denmark,2020-04-01,251.0
Denmark,2020-04-02,283.0
Denmark,2020-04-03,373.0
Denmark,2020-04-04,323.0
Denmark,2020-04-05,292.0
Denmark,2020-04-06,314.0
Denmark,2020-04-07,391.0
Denmark,2020-04-08,331.0
Denmark,2020-04-09,233.0
Denmark,2020-04-10,184.0
Denmark,2020-04-11,177.0
Denmark,2020-04-12,178.0
